ubigeo,electores_pv,perulibre_pv,fuerzapopular_pv,renovpop_pv,avanzapais_pv,ap_pv,juntosperu_pv,apra_pv,victorianac_pv,otros_pv,podemos_pv,perulibre_balot,fuerzapopular_balot
010101,20819,1695,1222,1225,1132,1338,1314,1009,630,1050,333,7572,6064
010102,285,14,6,6,1,17,6,8,8,22,2,121,31
010103,1012,117,49,21,4,52,28,25,25,33,2,368,259
010104,587,44,29,26,14,47,37,32,9,56,2,265,115
010105,732,41,88,6,3,28,14,12,2,24,2,166,191
010106,1523,60,125,13,1,54,56,35,27,45,2,311,340
010107,427,79,39,17,8,18,24,14,4,23,0,187,89
010108,418,54,35,15,2,30,13,16,19,42,5,159,158
010109,3919,564,107,75,36,168,287,173,56,294,38,2158,464
010110,2580,215,148,96,82,178,119,96,44,143,22,849,697
010111,891,125,110,27,30,33,54,38,15,48,13,362,291
010112,720,49,45,56,26,45,40,37,19,58,3,342,172
010113,814,79,75,15,12,56,36,24,15,25,2,261,237
010114,1889,240,135,77,60,118,139,55,31,89,22,780,525
010115,591,51,29,18,7,34,63,30,9,29,2,281,112
010116,378,30,23,10,21,43,21,10,8,26,0,177,64
010117,780,34,9,13,9,51,28,15,3,59,4,356,76
010118,299,25,22,10,20,13,16,10,9,34,2,107,88
010119,524,37,50,9,16,73,44,7,10,43,1,238,145
010120,1260,80,78,42,27,64,45,56,10,96,5,512,264
010121,304,11,29,8,1,20,12,13,1,28,6,98,89
010201,7442,700,518,217,66,319,150,260,174,720,65,2769,1696
010202,8526,1250,673,252,69,267,105,241,151,544,265,3368,1803
010203,4212,481,235,127,40,220,107,167,86,589,28,1940,867
010204,1303,214,71,42,14,64,37,47,60,181,14,690,250
010205,18722,2650,1733,951,392,966,494,1283,613,1187,284,7756,5235
010206,21905,2365,338,252,68,208,325,359,107,1735,1723,8799,913
010301,863,101,47,23,16,54,50,15,16,44,2,366,170
010302,675,172,34,16,5,24,27,26,8,36,3,380,100
010303,622,71,19,20,4,39,33,18,20,41,10,319,98
010304,407,44,39,16,10,32,20,20,5,27,3,176,106
010305,355,35,36,14,10,30,13,13,2,13,7,111,128
010306,4510,955,392,105,69,125,89,98,47,104,44,1843,1125
010307,288,22,20,7,5,24,22,8,12,26,4,143,42
010308,442,62,27,19,7,22,18,33,6,33,8,202,102
010309,1378,205,74,24,23,52,56,26,20,75,23,604,269
010310,872,59,119,34,10,34,56,47,17,57,14,286,301
010311,4518,842,307,97,52,198,95,110,44,147,22,1914,997
010312,5987,686,629,212,143,242,278,209,115,292,94,2030,1771
010401,1682,125,59,106,37,61,102,80,44,174,20,695,364
010402,4413,1120,217,58,36,153,131,238,48,200,18,2041,854
010403,1446,55,56,6,11,34,26,22,18,37,7,411,226
010404,1701,101,107,38,22,75,105,46,18,177,14,571,459
010405,1497,280,106,27,12,35,58,53,6,105,10,583,343
010406,491,23,42,9,6,21,22,22,12,48,5,147,170
010407,759,63,107,46,16,20,20,25,12,28,3,215,308
010408,790,48,65,3,14,30,43,52,11,44,1,268,162
