ubigeo,num_electores,num_votos,PARTIDO NACIONALISTA PERUANO,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO MORADO,PERU PATRIA SEGURA,VICTORIA NACIONAL,ACCION POPULAR,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PODEMOS PERU,JUNTOS POR EL PERU,PARTIDO POPULAR CRISTIANO - PPC,FUERZA POPULAR,UNION POR EL PERU,RENOVACION POPULAR,RENACIMIENTO UNIDO NACIONAL,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLITICO NACIONAL PERU LIBRE,DEMOCRACIA DIRECTA,ALIANZA PARA EL PROGRESO,TOTAL VOTOS VALIDOS,VOTOS EN BLANCO,VOTOS NULOS,VOTOS IMPUGNADOS,TOTAL VOTOS EMITIDOS
010101,20819,13619,182,112,281,35,630,1338,1132,333,1314,125,1222,30,1225,36,213,1695,36,1009,10948,1543,1128,0,13619
010102,285,114,15,0,2,1,8,17,1,2,6,0,6,0,6,1,3,14,0,8,90,9,15,0,114
010103,1012,504,9,3,5,1,25,52,4,2,28,1,49,2,21,2,10,117,0,25,356,122,26,0,504
010104,587,411,29,18,4,0,9,47,14,2,37,2,29,1,26,1,1,44,0,32,296,78,37,0,411
010105,732,324,14,2,1,1,2,28,3,2,14,0,88,1,6,3,0,41,2,12,220,78,26,0,324
010106,1523,641,9,13,6,0,27,54,1,2,56,1,125,3,13,4,6,60,3,35,418,166,57,0,641
010107,427,289,11,1,8,0,4,18,8,0,24,0,39,0,17,1,2,79,0,14,226,45,18,0,289
010108,418,309,22,5,7,0,19,30,2,5,13,1,35,1,15,3,2,54,1,16,231,53,25,0,309
010109,3919,2633,160,45,21,6,56,168,36,38,287,6,107,15,75,15,26,564,0,173,1798,576,259,0,2633
010110,2580,1578,45,20,14,4,44,178,82,22,119,3,148,2,96,3,48,215,4,96,1143,326,109,0,1578
010111,891,625,24,7,8,0,15,33,30,13,54,0,110,1,27,4,4,125,0,38,493,104,28,0,625
010112,720,503,35,2,9,0,19,45,26,3,40,0,45,3,56,3,5,49,1,37,378,76,49,0,503
010113,814,445,5,6,5,0,15,56,12,2,36,1,75,0,15,3,5,79,0,24,339,46,60,0,445
010114,1889,1277,44,6,15,0,31,118,60,22,139,3,135,3,77,3,14,240,1,55,966,209,102,0,1277
010115,591,347,9,5,4,0,9,34,7,2,63,4,29,1,18,1,5,51,0,30,272,53,22,0,347
010116,378,243,14,2,5,1,8,43,21,0,21,0,23,0,10,0,3,30,1,10,192,34,17,0,243
010117,780,358,51,2,2,1,3,51,9,4,28,0,9,0,13,0,2,34,1,15,225,89,44,0,358
010118,299,201,8,18,2,0,9,13,20,2,16,3,22,0,10,1,2,25,0,10,161,25,15,0,201
010119,524,363,29,2,3,0,10,73,16,1,44,0,50,2,9,2,4,37,1,7,290,44,29,0,363
