ubigeo,departamento,provincia,distrito,num_electores,num_votos,votos_perulibre,votos_fuerzapopular,votos_blanco,votos_nulos,votos_impugnados
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,20819,15012,7572,6064,119,1254,3
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,285,158,121,31,2,4,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1012,657,368,259,4,26,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,587,427,265,115,5,42,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,732,383,166,191,0,26,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1523,695,311,340,3,41,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,427,295,187,89,4,15,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,418,328,159,158,3,8,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,3919,2891,2158,464,41,228,0
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2580,1671,849,697,23,102,0
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,891,685,362,291,6,26,0
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,720,544,342,172,9,21,0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,814,533,261,237,8,27,0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,1889,1399,780,525,20,74,0
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,591,422,281,112,5,24,0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,378,250,177,64,1,8,0
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,780,463,356,76,6,25,0
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,299,213,107,88,2,16,0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,524,397,238,145,4,10,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1260,825,512,264,5,44,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,304,199,98,89,4,8,0
010201,AMAZONAS,BAGUA,LA PECA,7442,4775,2769,1696,41,269,0
010202,AMAZONAS,BAGUA,ARAMANGO,8526,5533,3368,1803,63,299,203
010203,AMAZONAS,BAGUA,COPALLIN,4212,2964,1940,867,28,129,0
010204,AMAZONAS,BAGUA,EL PARCO,1303,977,690,250,5,32,0
010205,AMAZONAS,BAGUA,BAGUA,18722,13901,7756,5235,88,820,2
010206,AMAZONAS,BAGUA,IMAZA,21905,9968,8799,913,57,316,0
010301,AMAZONAS,BONGARA,JUMBILLA,863,598,366,170,11,51,0
010302,AMAZONAS,BONGARA,COROSHA,675,500,380,100,6,14,0
010303,AMAZONAS,BONGARA,CUISPES,622,436,319,98,1,18,0
010304,AMAZONAS,BONGARA,CHISQUILLA,407,306,176,106,6,18,0
010305,AMAZONAS,BONGARA,CHURUJA,355,250,111,128,1,10,0
010306,AMAZONAS,BONGARA,FLORIDA,4510,3246,1843,1125,35,243,0
010307,AMAZONAS,BONGARA,RECTA,288,191,143,42,1,5,0
010308,AMAZONAS,BONGARA,SAN CARLOS,442,329,202,102,3,22,0
010309,AMAZONAS,BONGARA,SHIPASBAMBA,1378,935,604,269,7,55,0
010310,AMAZONAS,BONGARA,VALERA,872,621,286,301,7,27,0
010311,AMAZONAS,BONGARA,YAMBRASBAMBA,4518,3061,1914,997,32,118,0
010312,AMAZONAS,BONGARA,JAZAN,5987,4103,2030,1771,48,254,0
010401,AMAZONAS,LUYA,LAMUD,1682,1150,695,364,13,78,0
010402,AMAZONAS,LUYA,CAMPORREDONDO,4413,3095,2041,854,30,170,0
010403,AMAZONAS,LUYA,COCABAMBA,1446,674,411,226,12,25,0
010404,AMAZONAS,LUYA,COLCAMAR,1701,1157,571,459,19,108,0
010405,AMAZONAS,LUYA,CONILA,1497,988,583,343,13,49,0
010406,AMAZONAS,LUYA,INGUILPATA,491,338,147,170,3,18,0
010407,AMAZONAS,LUYA,LONGUITA,759,546,215,308,5,18,0
010408,AMAZONAS,LUYA,LONYA CHICO,790,454,268,162,5,19,0
010409,AMAZONAS,LUYA,LUYA,2953,2154,1154,857,31,112,0
010410,AMAZONAS,LUYA,LUYA VIEJO,328,251,143,90,3,15,0
010411,AMAZONAS,LUYA,MARIA,735,486,296,160,6,24,0
010412,AMAZONAS,LUYA,OCALLI,2428,1555,990,468,29,68,0
010413,AMAZONAS,LUYA,OCUMAL,2649,1675,817,703,26,86,0
010414,AMAZONAS,LUYA,PISUQUIA,3799,1626,973,560,24,69,0
010415,AMAZONAS,LUYA,SAN CRISTOBAL,530,365,196,146,2,21,0
010416,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,596,388,236,139,4,9,0
010417,AMAZONAS,LUYA,SAN JERONIMO,714,397,196,184,7,10,0
010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,473,292,135,131,5,21,0
010419,AMAZONAS,LUYA,SANTA CATALINA,1301,689,376,290,5,18,0
010420,AMAZONAS,LUYA,SANTO TOMAS,2588,1490,795,588,10,97,0
010421,AMAZONAS,LUYA,TINGO,1106,802,361,389,10,42,0
010422,AMAZONAS,LUYA,TRITA,959,711,526,156,7,22,0
010423,AMAZONAS,LUYA,PROVIDENCIA,1079,596,481,93,4,18,0
010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,3802,2625,1223,1166,28,211,0
010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,603,464,268,161,4,31,0
010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,1764,983,547,393,8,35,0
010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,2304,1614,626,853,23,112,0
010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,1355,836,485,283,6,62,0
010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,1365,1002,538,371,11,82,0
010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,572,344,194,125,5,20,0
010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1532,1116,547,508,3,58,0
010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,6871,4022,2512,1159,56,297,0
010510,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,491,350,184,140,4,22,0
010511,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,407,250,121,114,1,14,0
010512,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,1820,1008,722,218,6,62,0
010601,AMAZONAS,CONDORCANQUI,NIEVA,19091,8242,6833,1030,55,319,5
010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,9863,3751,3324,328,111,78,0
010603,AMAZONAS,CONDORCANQUI,EL CENEPA,9319,3681,3430,87,11,153,0
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,39692,27418,16589,9153,202,1473,0
010702,AMAZONAS,UTCUBAMBA,CAJARURO,20583,14081,9369,4004,145,632,0
010703,AMAZONAS,UTCUBAMBA,CUMBA,6568,4473,2699,1542,35,176,21
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,4212,2951,1598,1154,36,163,0
010705,AMAZONAS,UTCUBAMBA,JAMALCA,5373,3672,2406,1110,29,127,0
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,7167,4976,2911,1755,51,259,0
010707,AMAZONAS,UTCUBAMBA,YAMON,2636,1611,1037,504,12,58,0
020101,ANCASH,HUARAZ,HUARAZ,50781,39381,22932,13226,342,2881,0
020102,ANCASH,HUARAZ,INDEPENDENCIA,53411,41879,25167,13623,323,2765,0
020103,ANCASH,HUARAZ,COCHABAMBA,1555,794,406,348,19,21,0
020104,ANCASH,HUARAZ,COLCABAMBA,282,175,107,59,1,8,0
020105,ANCASH,HUARAZ,HUANCHAY,1671,1048,586,387,27,48,0
020106,ANCASH,HUARAZ,JANGAS,4176,3454,2068,1084,38,264,0
020107,ANCASH,HUARAZ,LA LIBERTAD,1170,783,390,348,11,34,0
020108,ANCASH,HUARAZ,OLLEROS,2601,1988,1372,505,23,88,0
020109,ANCASH,HUARAZ,PAMPAS GRANDE,1066,650,417,194,4,35,0
020110,ANCASH,HUARAZ,PARIACOTO,3996,2822,1396,1269,44,113,0
020111,ANCASH,HUARAZ,PIRA,3571,2355,1363,850,40,102,0
020112,ANCASH,HUARAZ,TARICA,5080,4087,2424,1300,101,262,0
020201,ANCASH,AIJA,AIJA,1587,1091,709,330,10,42,0
020203,ANCASH,AIJA,CORIS,1421,860,450,362,15,33,0
020205,ANCASH,AIJA,HUACLLAN,389,263,197,56,3,7,0
020206,ANCASH,AIJA,LA MERCED,1735,1287,716,497,8,66,0
020208,ANCASH,AIJA,SUCCHA,685,444,253,168,5,18,0
020301,ANCASH,BOLOGNESI,CHIQUIAN,3095,1924,1288,514,19,103,0
020302,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,229,123,72,35,1,15,0
020304,ANCASH,BOLOGNESI,AQUIA,1723,1105,636,386,7,76,0
020305,ANCASH,BOLOGNESI,CAJACAY,1427,1058,627,387,12,32,0
020310,ANCASH,BOLOGNESI,HUAYLLACAYAN,1003,692,528,110,10,44,0
020311,ANCASH,BOLOGNESI,HUASTA,1343,827,536,235,10,46,0
020313,ANCASH,BOLOGNESI,MANGAS,427,246,150,84,2,10,0
020315,ANCASH,BOLOGNESI,PACLLON,897,588,472,90,4,22,0
020317,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,226,138,80,50,1,7,0
020320,ANCASH,BOLOGNESI,TICLLOS,473,285,147,128,1,9,0
020321,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,1079,709,508,170,8,23,0
020322,ANCASH,BOLOGNESI,CANIS,297,136,68,62,2,4,0
020323,ANCASH,BOLOGNESI,COLQUIOC,1638,1243,672,481,9,81,0
020324,ANCASH,BOLOGNESI,LA PRIMAVERA,292,157,123,29,3,2,0
020325,ANCASH,BOLOGNESI,HUALLANCA,4630,3187,1783,1233,33,138,0
020401,ANCASH,CARHUAZ,CARHUAZ,11956,9348,5796,2508,169,876,0
020402,ANCASH,CARHUAZ,ACOPAMPA,2011,1593,928,501,31,133,0
020403,ANCASH,CARHUAZ,AMASHCA,1573,1267,899,275,11,82,0
